id,shape,run,wall_seconds,max_rss_bytes,entries,distinct_files
P1,file-named,1,14.34,1457913856,1,1
P1,file-named,2,24.22,1456996352,1,1
P1,file-named,3,27.55,1454112768,1,1
P2,file-named,1,10.20,1454587904,30,30
P2,file-named,2,12.01,1454800896,30,30
P2,file-named,3,13.90,1450950656,30,30
P3,concept-only,1,9.54,1451622400,30,30
P3,concept-only,2,11.04,1447608320,30,30
P3,concept-only,3,9.95,1451163648,30,30
P4,concept-only,1,9.84,1447919616,30,30
P4,concept-only,2,9.36,1447657472,30,30
P4,concept-only,3,8.62,1447772160,30,30
P5,mixed,1,9.32,1449394176,30,30
P5,mixed,2,11.04,1448280064,30,30
P5,mixed,3,8.73,1452294144,30,30
P6,symptom,1,9.15,1451327488,30,30
P6,symptom,2,9.30,1449394176,30,30
P6,symptom,3,9.18,1450328064,30,30
